,Date-Time,Soil Moisture,Temperature,Humidity
0,2021-05-25 17:02:05,189,31.6,82
1,2021-05-25 17:02:05,134,31.6,80
2,2021-05-25 17:02:31,144,31.7,81
3,2021-05-25 17:02:56,192,31.7,81
4,2021-05-25 17:03:47,195,31.7,80
5,2021-05-25 17:04:16,137,31.9,80
6,2021-05-25 17:04:39,194,31.9,79
7,2021-05-25 17:05:04,136,31.9,80
8,2021-05-25 17:05:26,201,31.9,80
9,2021-05-25 17:05:50,192,32.0,80
10,2021-05-25 17:05:50,143,32.2,79
11,2021-05-25 17:06:12,193,32.0,79
12,2021-05-25 17:07:03,138,32.1,79
13,2021-05-25 17:07:30,193,32.1,78
14,2021-05-25 17:07:53,144,32.1,79
